permit_id,property_name,municipal_case_id,publication_date,municipality,permit_type_num,permit_type,longitude,latitude
140427,KALKSTENEN 1,K866554/25,2025-11-18,Kalmar,0,Bygglov,16.342706003050875,56.70838626916858
140431,SENOREN 8:42,K866596/25,2025-11-18,Karlskrona,0,Bygglov,15.749809972701534,56.11756269393429
140439,BÄCKAHÄSTEN 4,K866657/25,2025-11-18,Växjö,0,Bygglov,14.813862800598145,56.835627815940164
140448,DÖRBY 5:48,K866735/25,2025-11-18,Kalmar,0,Bygglov,16.26193199157715,56.65921447753906
140461,KALVSVIK 13:3,K866625/25,2025-11-18,Växjö,0,Bygglov,14.746231372539814,56.7152586716872
140539,GUNGVALA 3:40,K870641/25,2025-11-19,Karlshamn,0,Bygglov,14.779868337843153,56.25373882717557
140542,STORA FRÖ 1:69,K870647/25,2025-11-19,Mörbylånga,0,Bygglov,16.40767593383789,56.57388534545898
140573,DEGERHAMN 4:1,K870443/25,2025-11-19,Mörbylånga,0,Bygglov,16.433807118733725,56.34168930053711
140585,TRÄNSUM 5:9,K870565/25,2025-11-19,Karlshamn,0,Bygglov,14.970242541769277,56.18713859889818
140607,HOBY 3:28,K870611/25,2025-11-19,Ronneby,0,Bygglov,15.125450551509857,56.22693610191345
140612,FURUBY 11:1,K870809/25,2025-11-19,Växjö,0,Bygglov,15.032165820782001,56.84897364102877
140672,HÅKAN SJÖGREN 5,K870725/25,2025-11-19,Växjö,0,Bygglov,14.806350135803223,56.877314758300784
140699,Slattesmåla 1:38,K870793/25,2025-11-19,Tingsryd,0,Bygglov,14.664871978759766,56.41110000610352
140724,GETASKÄRV 3:43,K870745/25,2025-11-19,Växjö,0,Bygglov,14.629938534327916,56.86314828055246
140782,SIRETORP 3:292,K875486/25,2025-11-20,Sölvesborg,0,Bygglov,14.593044090270997,56.021609497070315
140843,STILLERYD 2:74,K875834/25,2025-11-20,Karlshamn,0,Bygglov,14.817093849182129,56.16986846923828
140862,ASARUM 40:164,K875677/25,2025-11-20,Karlshamn,0,Bygglov,14.826330108642578,56.20263778686523
140883,HANÖ 1:80,K875487/25,2025-11-20,Sölvesborg,0,Bygglov,14.836410204569498,56.01125971476237
140900,ASARUM 1:79,K875882/25,2025-11-20,Karlshamn,0,Bygglov,14.834556102752686,56.209672164916995
140905,RYD 1:123,K875999/25,2025-11-20,Tingsryd,1,Rivningslov,14.699994087219238,56.46948776245117
140935,LINNERYDS-KORRÖ 1:6,K875888/25,2025-11-20,Tingsryd,0,Bygglov,15.19906997680664,56.62516239711216
140960,ÄLMEBERG 1:17,K876179/25,2025-11-20,Nybro,0,Bygglov,15.814459959665934,56.722283045450844
140994,HOLJE 103:7,K880218/25,2025-11-21,Olofström,0,Bygglov,14.543720722198486,56.27517297532823
141001,TULSEBODA 1:58,K880230/25,2025-11-21,Olofström,0,Bygglov,14.593872467676798,56.35370445251465
141013,GRÄNUM 13:6,K880228/25,2025-11-21,Olofström,0,Bygglov,14.622617721557617,56.25467014312744
141027,HÄSTEN 8,K879778/25,2025-11-21,Växjö,0,Bygglov,14.816778898239136,56.89370059967041
141031,GESÄLLEN 3,K880347/25,2025-11-21,Sölvesborg,0,Bygglov,14.564694313775925,56.056969415573846
141055,GÅRDSBY-TOFTA 11:35,K880446/25,2025-11-21,Växjö,3,Förhandsbesked,14.860055361038599,56.937556682488854
141073,TRÄDLÄRKAN 7,K879879/25,2025-11-21,Växjö,0,Bygglov,14.858579953511557,56.91401926676432
141080,VITPEPPARN 2,K879946/25,2025-11-21,Växjö,0,Bygglov,14.843709945678711,56.93021850585937
141126,INGELSTAD 19:53,K879840/25,2025-11-21,Växjö,0,Bygglov,14.919141292572021,56.740931034088135
141325,RUNSBÄCK 2:108,K884391/25,2025-11-24,Mörbylånga,0,Bygglov,16.466738594902885,56.63355043199327
141614,VÄXJÖ 12:10,K888158/25,2025-11-25,Växjö,0,Bygglov,14.807688763737678,56.84606931209564
141745,SÖLVESBORG 3:51,K891213/25,2025-11-26,Sölvesborg,0,Bygglov,14.553815007209778,56.04727792739868
141793,SKAVKULLA 1:36,K890969/25,2025-11-26,Karlskrona,0,Bygglov,15.511553446451822,56.173318227132164
141798,MÅLAREN 13,K891041/25,2025-11-26,Växjö,0,Bygglov,14.781338095664978,56.893476247787476
141809,HOSABY 14:7,K891378/25,2025-11-26,Sölvesborg,0,Bygglov,14.770261355808803,56.04045213971819
141821,SKÄGGALÖSA 3:2,K891539/25,2025-11-26,Alvesta,0,Bygglov,14.657600045204163,56.735408782958984
141831,Södra Rödhult 2:75,K891364/25,2025-11-26,Olofström,0,Bygglov,14.527218546186175,56.239728110177175
141836,BULTEN 7,K891488/25,2025-11-26,Växjö,0,Bygglov,14.822533130645752,56.886718114217125
141887,RÖSJÖ 1:28,K891363/25,2025-11-26,Olofström,0,Bygglov,14.551510113936205,56.25995225172777
141888,HOLJE 116:85,K891366/25,2025-11-26,Olofström,0,Bygglov,14.54635673099094,56.27332051595052
141891,SKÖNABÄCK 1:268,K891379/25,2025-11-26,Sölvesborg,0,Bygglov,14.717647756849017,56.0123040335519
141933,ÖSTAD 8:52,K891007/25,2025-11-26,Bromölla,0,Bygglov,14.526058864593505,56.217916870117186
141951,MOSSVIOLEN 5,K891665/25,2025-11-26,Växjö,0,Bygglov,14.740691321236747,56.9129889351981
141987,HOSABY 17:96,K896686/25,2025-11-27,Sölvesborg,0,Bygglov,14.747164552861994,56.043698744340375
142028,SKOMAKAREN 3,K896160/25,2025-11-27,Växjö,0,Bygglov,14.775824165344238,56.892695617675784
142035,HULDRAN 4,K896178/25,2025-11-27,Växjö,0,Bygglov,14.813348770141602,56.835548400878906
142091,SMEDBY 5:1,K896156/25,2025-11-27,Kalmar,0,Bygglov,16.27180200304304,56.668476159232
