permit_id,property_name,municipal_case_id,publication_date,municipality_permit,permit_type_num,permit_type,longitude,latitude,municipality_clean,municipality_demo,total_population,inrikes_fodda,utrikes_fodda,total_dwellings,mean_income_sek,foreign_born_pct,hyresrätt_share,bostadsrätt_share,äganderätt_share,rental_share,owner_share,simpson_index,shannon_index,fractionalization,hhi
137691,Stenyxan 7,K822357/25,2025-11-03,Falkenberg,0,Bygglov,12.482076735723586,56.905077616373696,Falkenberg,Falkenberg,47108.0,39902.0,7206.0,22247.0,234336.5267045937,0.1529676488069966,0.2997707556074976,0.1597968265384096,0.5400728188070302,0.2997707556074976,0.6998696453454398,0.25913709445091193,0.42782242320822617,0.25913709445091193,0.7408629055490881
137876,Skogstorp 16:127,K825448/25,2025-11-04,Falkenberg,0,Bygglov,12.432429949442543,56.90898831685384,Falkenberg,Falkenberg,47108.0,39902.0,7206.0,22247.0,234336.5267045937,0.1529676488069966,0.2997707556074976,0.1597968265384096,0.5400728188070302,0.2997707556074976,0.6998696453454398,0.25913709445091193,0.42782242320822617,0.25913709445091193,0.7408629055490881
138217,Slottshagen 8,K828401/25,2025-11-05,Falkenberg,0,Bygglov,12.495423663746228,56.899806629527696,Falkenberg,Falkenberg,47108.0,39902.0,7206.0,22247.0,234336.5267045937,0.1529676488069966,0.2997707556074976,0.1597968265384096,0.5400728188070302,0.2997707556074976,0.6998696453454398,0.25913709445091193,0.42782242320822617,0.25913709445091193,0.7408629055490881
138246,MÖLLE 12:25,K828197/25,2025-11-05,Höganäs,0,Bygglov,12.48969316482544,56.28872807820638,Höganäs,Höganäs,28193.0,24206.0,3987.0,12691.0,267358.46132018586,0.1414180825027489,0.3044677330391616,0.0988101804428334,0.5967220865180048,0.3044677330391616,0.6955322669608384,0.24283801688798912,0.40752938833258523,0.24283801688798912,0.7571619831120109
138308,Kungsörnen 1,K833865/25,2025-11-06,Falkenberg,0,Bygglov,12.479605454664965,56.91204775296725,Falkenberg,Falkenberg,47108.0,39902.0,7206.0,22247.0,234336.5267045937,0.1529676488069966,0.2997707556074976,0.1597968265384096,0.5400728188070302,0.2997707556074976,0.6998696453454398,0.25913709445091193,0.42782242320822617,0.25913709445091193,0.7408629055490881
139330,Kungsörnen 1,K850174/25,2025-11-12,Falkenberg,0,Bygglov,12.479605454664965,56.91204775296725,Falkenberg,Falkenberg,47108.0,39902.0,7206.0,22247.0,234336.5267045937,0.1529676488069966,0.2997707556074976,0.1597968265384096,0.5400728188070302,0.2997707556074976,0.6998696453454398,0.25913709445091193,0.42782242320822617,0.25913709445091193,0.7408629055490881
139941,Morup 8:21,K858679/25,2025-11-14,Falkenberg,0,Bygglov,12.41064887576633,56.97623952229818,Falkenberg,Falkenberg,47108.0,39902.0,7206.0,22247.0,234336.5267045937,0.1529676488069966,0.2997707556074976,0.1597968265384096,0.5400728188070302,0.2997707556074976,0.6998696453454398,0.25913709445091193,0.42782242320822617,0.25913709445091193,0.7408629055490881
140564,MÖLLE 12:145,K870326/25,2025-11-19,Höganäs,0,Bygglov,12.492747068405151,56.28557949066162,Höganäs,Höganäs,28193.0,24206.0,3987.0,12691.0,267358.46132018586,0.1414180825027489,0.3044677330391616,0.0988101804428334,0.5967220865180048,0.3044677330391616,0.6955322669608384,0.24283801688798912,0.40752938833258523,0.24283801688798912,0.7571619831120109
140584,Knölaberget 1,K870543/25,2025-11-19,Falkenberg,0,Bygglov,12.49929531882791,56.88815049564137,Falkenberg,Falkenberg,47108.0,39902.0,7206.0,22247.0,234336.5267045937,0.1529676488069966,0.2997707556074976,0.1597968265384096,0.5400728188070302,0.2997707556074976,0.6998696453454398,0.25913709445091193,0.42782242320822617,0.25913709445091193,0.7408629055490881
140652,Knölaberget 1,K870564/25,2025-11-19,Falkenberg,0,Bygglov,12.49929531882791,56.88815049564137,Falkenberg,Falkenberg,47108.0,39902.0,7206.0,22247.0,234336.5267045937,0.1529676488069966,0.2997707556074976,0.1597968265384096,0.5400728188070302,0.2997707556074976,0.6998696453454398,0.25913709445091193,0.42782242320822617,0.25913709445091193,0.7408629055490881
