Model,Simpson,Log_Pop,Income,Owner,R2,N,Shannon
Model 1,-2.9173986336463518,,,,0.09113116900262552,272,
Model 2,-2.050310366568693,-0.16286133511070108,,,0.127851781119655,272,
Model 3,-1.8698268655221484,-0.1483090150767828,-0.0062153459377673245,0.6025598383198584,0.13082378956001384,272,
Model 4 (Shannon),,-0.1476079059131536,-0.006911940671551928,0.5978202026686068,0.13145827724915926,272,-1.561245864045607
