Specification,Simpson_Index,Log_Population,Income_100k,Owner_Share,R_squared,N
Level Y,-1.8698268655221484,-0.1483090150767828,-0.0062153459377673245,0.6025598383198584,0.13082378956001384,272
Log(Y),-1.9700680515093811,-0.06623560891595007,-0.024365529808967765,0.6402131722557509,0.12539023189927556,272
